Epoch 	Test Acc. 	Train Acc.
1:	0.8849	0.902
2:	0.9054	0.9331666666666667
3:	0.9078	0.9436666666666667
4:	0.9143	0.951
5:	0.916	0.9596666666666667
6:	0.9144	0.9618333333333333
7:	0.922	0.9736666666666667
8:	0.9251	0.977
9:	0.9238	0.9798333333333333
10:	0.9236	0.9781666666666666
11:	0.9261	0.986
12:	0.9267	0.9883333333333333
13:	0.9275	0.991
14:	0.9284	0.9928333333333333
15:	0.929	0.9931666666666666
16:	0.9252	0.9938333333333333
17:	0.9299	0.9961666666666666
18:	0.9304	0.9971666666666666
19:	0.9295	0.9981666666666666
20:	0.929	0.998
21:	0.9312	0.9981666666666666
22:	0.9295	0.9988333333333334
23:	0.9301	0.9993333333333333
24:	0.9312	0.9996666666666667
25:	0.9319	0.9998333333333334
26:	0.9315	0.9996666666666667
27:	0.9335	1.0
28:	0.9332	1.0
29:	0.9303	1.0
30:	0.9356	1.0
31:	0.9335	1.0
32:	0.9328	1.0
33:	0.9348	1.0
34:	0.9317	1.0
35:	0.9348	1.0
36:	0.9324	1.0
37:	0.9334	1.0
38:	0.9345	1.0
39:	0.9341	1.0
40:	0.9351	1.0
41:	0.9345	1.0
42:	0.9343	1.0
43:	0.935	1.0
44:	0.9354	1.0
45:	0.9358	1.0
46:	0.9345	1.0
47:	0.9343	1.0
48:	0.9353	1.0
49:	0.9366	1.0
50:	0.9345	1.0
