Epoch 	Test Acc. 	Train Acc.
1:	0.8482	0.8683333333333333
2:	0.8946	0.914
3:	0.9021	0.928
4:	0.9107	0.942
5:	0.9147	0.9476666666666667
6:	0.9141	0.9481666666666667
7:	0.9175	0.9558333333333333
8:	0.9178	0.9611666666666666
9:	0.9183	0.964
10:	0.9196	0.9678333333333333
11:	0.9212	0.9696666666666667
12:	0.9171	0.9673333333333334
13:	0.9224	0.974
14:	0.9208	0.9788333333333333
15:	0.92	0.977
16:	0.9218	0.9825
17:	0.9221	0.981
18:	0.9222	0.983
19:	0.9245	0.9868333333333333
20:	0.9244	0.987
21:	0.9232	0.9873333333333333
22:	0.9232	0.9876666666666667
23:	0.9242	0.9901666666666666
24:	0.9234	0.991
25:	0.9247	0.9898333333333333
26:	0.9245	0.9916666666666667
27:	0.9228	0.9931666666666666
28:	0.9247	0.9951666666666666
29:	0.9216	0.9941666666666666
30:	0.9233	0.9956666666666667
31:	0.9247	0.996
32:	0.9252	0.9973333333333333
33:	0.923	0.9978333333333333
34:	0.9229	0.997
35:	0.9228	0.9981666666666666
36:	0.9222	0.9985
37:	0.9233	0.9986666666666667
38:	0.9243	0.999
39:	0.9235	0.9988333333333334
40:	0.9232	0.9991666666666666
41:	0.9234	0.9993333333333333
42:	0.9247	0.9995
43:	0.9237	0.9995
44:	0.9195	0.9976666666666667
45:	0.92	0.9996666666666667
46:	0.9223	0.9998333333333334
47:	0.9243	0.9998333333333334
48:	0.9212	1.0
49:	0.9246	0.9998333333333334
50:	0.9219	0.9998333333333334
