Epoch 	Test Acc. 	Train Acc.
1:	0.8229	0.8388333333333333
2:	0.8725	0.8866666666666667
3:	0.8908	0.9103333333333333
4:	0.8971	0.924
5:	0.9031	0.9341666666666667
6:	0.9086	0.9403333333333334
7:	0.9077	0.9451666666666667
8:	0.9108	0.9493333333333334
9:	0.9088	0.9535
10:	0.9097	0.953
11:	0.9093	0.9555
12:	0.9126	0.9616666666666667
13:	0.9102	0.9595
14:	0.913	0.9633333333333334
15:	0.9133	0.9691666666666666
16:	0.9141	0.9723333333333334
17:	0.9127	0.9673333333333334
18:	0.9143	0.9726666666666667
19:	0.9163	0.9748333333333333
20:	0.9142	0.9736666666666667
21:	0.9138	0.9786666666666667
22:	0.9144	0.9801666666666666
23:	0.9143	0.9813333333333333
24:	0.9144	0.981
25:	0.9141	0.983
26:	0.9158	0.9836666666666667
27:	0.9166	0.9861666666666666
28:	0.9151	0.9873333333333333
29:	0.9144	0.9851666666666666
30:	0.9139	0.9866666666666667
31:	0.9146	0.9878333333333333
32:	0.9144	0.9903333333333333
33:	0.9142	0.9906666666666667
34:	0.9133	0.9895
35:	0.9156	0.9918333333333333
36:	0.9137	0.9923333333333333
37:	0.9135	0.9926666666666667
38:	0.9141	0.9931666666666666
39:	0.9152	0.9926666666666667
40:	0.912	0.9946666666666667
41:	0.9121	0.9921666666666666
42:	0.9153	0.9951666666666666
43:	0.9151	0.996
44:	0.9137	0.996
45:	0.9117	0.9938333333333333
46:	0.9132	0.9965
47:	0.9143	0.9973333333333333
48:	0.9137	0.9973333333333333
49:	0.9126	0.9988333333333334
50:	0.9147	0.997
