Epoch 	Test Acc. 	Train Acc.
1:	0.8745	0.8923333333333333
2:	0.8984	0.9226666666666666
3:	0.9084	0.9363333333333334
4:	0.9151	0.9503333333333334
5:	0.9194	0.9575
6:	0.9173	0.9601666666666666
7:	0.9225	0.965
8:	0.9219	0.9701666666666666
9:	0.9241	0.9743333333333334
10:	0.9282	0.9778333333333333
11:	0.9255	0.981
12:	0.9285	0.9818333333333333
13:	0.929	0.9856666666666667
14:	0.9296	0.987
15:	0.9289	0.9886666666666667
16:	0.9307	0.9925
17:	0.9322	0.9945
18:	0.9324	0.9935
19:	0.9329	0.9938333333333333
20:	0.9338	0.996
21:	0.934	0.9956666666666667
22:	0.9346	0.9981666666666666
23:	0.935	0.9981666666666666
24:	0.9343	0.9985
25:	0.9359	0.9991666666666666
26:	0.9346	0.9993333333333333
27:	0.9349	0.9991666666666666
28:	0.9359	0.9998333333333334
29:	0.9343	0.9995
30:	0.9344	0.9995
31:	0.9355	1.0
32:	0.9356	0.9996666666666667
33:	0.9356	1.0
34:	0.935	0.9998333333333334
35:	0.9355	1.0
36:	0.9349	0.9993333333333333
37:	0.9366	1.0
38:	0.9365	1.0
39:	0.9363	1.0
40:	0.9363	1.0
41:	0.936	1.0
42:	0.9364	1.0
43:	0.9366	1.0
44:	0.9371	1.0
45:	0.9377	1.0
46:	0.9366	1.0
47:	0.9372	1.0
48:	0.9365	1.0
49:	0.9371	1.0
50:	0.9376	1.0
