Epoch 	Test Acc. 	Train Acc.
1:	0.8882	0.9093333333333333
2:	0.9091	0.9331666666666667
3:	0.9206	0.9516666666666667
4:	0.9195	0.9555
5:	0.9287	0.969
6:	0.9282	0.9768333333333333
7:	0.9315	0.98
8:	0.9321	0.982
9:	0.9342	0.9868333333333333
10:	0.9372	0.9901666666666666
11:	0.9361	0.9926666666666667
12:	0.9368	0.9946666666666667
13:	0.9362	0.9936666666666667
14:	0.9385	0.9963333333333333
15:	0.9391	0.9976666666666667
16:	0.9408	0.998
17:	0.9397	0.9981666666666666
18:	0.9387	0.9996666666666667
19:	0.9381	0.9993333333333333
20:	0.9402	0.9998333333333334
21:	0.9386	0.9991666666666666
22:	0.9403	0.9998333333333334
23:	0.9412	1.0
24:	0.9415	1.0
25:	0.9418	1.0
26:	0.9416	1.0
27:	0.9431	1.0
28:	0.9417	1.0
29:	0.9416	1.0
30:	0.9422	1.0
31:	0.9435	1.0
32:	0.9429	1.0
33:	0.9437	1.0
34:	0.943	1.0
35:	0.9416	1.0
36:	0.9431	1.0
37:	0.9422	1.0
38:	0.9433	1.0
39:	0.9431	1.0
40:	0.9427	1.0
41:	0.9434	1.0
42:	0.9436	1.0
43:	0.9442	1.0
44:	0.9432	1.0
45:	0.9441	1.0
46:	0.9441	1.0
47:	0.9437	1.0
48:	0.9436	1.0
49:	0.9439	1.0
50:	0.944	1.0
