Epoch 	Test Acc. 	Train Acc.
1:	0.6666	0.6885
2:	0.7752	0.7896666666666666
3:	0.8322	0.8505
4:	0.8582	0.8785
5:	0.8736	0.9025
6:	0.8803	0.9096666666666666
7:	0.8833	0.9135
8:	0.8896	0.9196666666666666
9:	0.8922	0.9225
10:	0.8925	0.9265
11:	0.8964	0.9308333333333333
12:	0.8954	0.9313333333333333
13:	0.8974	0.9378333333333333
14:	0.8952	0.9393333333333334
15:	0.8979	0.9385
16:	0.8969	0.9416666666666667
17:	0.8983	0.943
18:	0.8985	0.9463333333333334
19:	0.8988	0.9453333333333334
20:	0.8946	0.9451666666666667
21:	0.8994	0.9506666666666667
22:	0.8979	0.9525
23:	0.8981	0.9531666666666667
24:	0.8975	0.9525
25:	0.8935	0.9516666666666667
26:	0.8988	0.9553333333333334
27:	0.8975	0.9565
28:	0.8967	0.957
29:	0.898	0.9586666666666667
30:	0.895	0.9546666666666667
31:	0.9003	0.9615
32:	0.8979	0.96
33:	0.8983	0.9613333333333334
34:	0.8978	0.965
35:	0.8975	0.9635
36:	0.8955	0.9631666666666666
37:	0.8977	0.9651666666666666
38:	0.8972	0.9665
39:	0.8975	0.9685
40:	0.8986	0.9693333333333334
41:	0.8961	0.9675
42:	0.8984	0.9698333333333333
43:	0.8969	0.969
44:	0.8968	0.9706666666666667
45:	0.8971	0.9716666666666667
46:	0.8966	0.9723333333333334
47:	0.8956	0.9733333333333334
48:	0.8953	0.9726666666666667
49:	0.8957	0.9726666666666667
50:	0.897	0.9733333333333334
