Epoch 	Test Acc. 	Train Acc.
1:	0.8848	0.8966666666666666
2:	0.895	0.9168333333333333
3:	0.908	0.9408333333333333
4:	0.9096	0.9435
5:	0.9171	0.9573333333333334
6:	0.9132	0.9588333333333333
7:	0.9231	0.9695
8:	0.9201	0.9716666666666667
9:	0.9287	0.9778333333333333
10:	0.9252	0.9766666666666667
11:	0.9283	0.983
12:	0.929	0.9846666666666667
13:	0.9319	0.9845
14:	0.9329	0.9893333333333333
15:	0.9345	0.9916666666666667
16:	0.9328	0.9911666666666666
17:	0.9314	0.9936666666666667
18:	0.935	0.9951666666666666
19:	0.9356	0.9958333333333333
20:	0.9362	0.997
21:	0.9332	0.9973333333333333
22:	0.9335	0.9986666666666667
23:	0.9318	0.998
24:	0.9349	0.9985
25:	0.9356	0.9993333333333333
26:	0.9352	0.9988333333333334
27:	0.9344	0.9993333333333333
28:	0.9331	0.9995
29:	0.9359	0.9998333333333334
30:	0.9347	1.0
31:	0.9347	1.0
32:	0.9368	1.0
33:	0.9359	1.0
34:	0.9366	1.0
35:	0.9364	1.0
36:	0.9365	1.0
37:	0.9369	1.0
38:	0.936	1.0
39:	0.938	1.0
40:	0.9371	1.0
41:	0.9369	1.0
42:	0.937	1.0
43:	0.9378	1.0
44:	0.9365	1.0
45:	0.937	1.0
46:	0.9344	1.0
47:	0.9306	0.9966666666666667
48:	0.9288	0.9955
49:	0.9366	1.0
50:	0.9372	1.0
