Epoch 	Test Acc. 	Train Acc.
1:	0.5423	0.5525
2:	0.5757	0.5935
3:	0.7074	0.7306666666666667
4:	0.7512	0.7808333333333334
5:	0.7656	0.7978333333333333
6:	0.7854	0.8186666666666667
7:	0.7899	0.826
8:	0.792	0.8313333333333334
9:	0.7947	0.832
10:	0.7965	0.8411666666666666
11:	0.8034	0.8466666666666667
12:	0.8006	0.8468333333333333
13:	0.8059	0.8528333333333333
14:	0.8048	0.8543333333333333
15:	0.8056	0.86
16:	0.8056	0.857
17:	0.8072	0.8618333333333333
18:	0.8069	0.8635
19:	0.8106	0.8705
20:	0.8121	0.8731666666666666
21:	0.8134	0.8746666666666667
22:	0.811	0.8671666666666666
23:	0.8045	0.8683333333333333
24:	0.8081	0.8691666666666666
25:	0.8143	0.8821666666666667
26:	0.8137	0.8816666666666667
27:	0.8161	0.8816666666666667
28:	0.8118	0.8791666666666667
29:	0.8085	0.8803333333333333
30:	0.8126	0.8831666666666667
31:	0.8148	0.8813333333333333
32:	0.8175	0.892
33:	0.8145	0.886
34:	0.8175	0.8923333333333333
35:	0.8189	0.8953333333333333
36:	0.8138	0.8851666666666667
37:	0.8127	0.892
38:	0.8193	0.8991666666666667
39:	0.8095	0.8851666666666667
40:	0.8137	0.8873333333333333
41:	0.8173	0.8931666666666667
42:	0.8179	0.9011666666666667
43:	0.8186	0.8938333333333334
44:	0.8178	0.8963333333333333
45:	0.8157	0.9006666666666666
46:	0.8203	0.9066666666666666
47:	0.82	0.8975
48:	0.8138	0.9045
49:	0.8201	0.901
50:	0.8217	0.9028333333333334
