Epoch 	Test Acc. 	Train Acc.
1:	0.741	0.7595
2:	0.7847	0.8113333333333334
3:	0.7947	0.8205
4:	0.7989	0.8293333333333334
5:	0.8072	0.842
6:	0.8204	0.8535
7:	0.8168	0.8496666666666667
8:	0.8097	0.8523333333333334
9:	0.8071	0.8536666666666667
10:	0.8255	0.8735
11:	0.825	0.8681666666666666
12:	0.8105	0.861
13:	0.8274	0.8855
14:	0.8204	0.8713333333333333
15:	0.8304	0.8875
16:	0.8274	0.8896666666666667
17:	0.8231	0.8865
18:	0.827	0.8895
19:	0.8261	0.8965
20:	0.8209	0.8943333333333333
21:	0.8308	0.8978333333333334
22:	0.827	0.9008333333333334
23:	0.824	0.8973333333333333
24:	0.8271	0.901
25:	0.8247	0.9018333333333334
26:	0.8307	0.9096666666666666
27:	0.8162	0.8843333333333333
28:	0.8245	0.907
29:	0.824	0.897
30:	0.8298	0.9143333333333333
31:	0.8236	0.9026666666666666
32:	0.8304	0.9191666666666667
33:	0.8257	0.911
34:	0.8056	0.8933333333333333
35:	0.8225	0.9161666666666667
36:	0.8231	0.916
37:	0.8255	0.917
38:	0.8194	0.9011666666666667
39:	0.8246	0.9166666666666666
40:	0.8289	0.924
41:	0.8231	0.9183333333333333
42:	0.8188	0.9145
43:	0.8223	0.917
44:	0.8258	0.9253333333333333
45:	0.8225	0.9278333333333333
46:	0.8293	0.9305
47:	0.8255	0.9195
48:	0.8274	0.928
49:	0.8244	0.9286666666666666
50:	0.8278	0.9366666666666666
