Epoch 	Test Acc. 	Train Acc.
1:	0.7739	0.7996666666666666
2:	0.813	0.8498333333333333
3:	0.8046	0.8428333333333333
4:	0.825	0.8716666666666667
5:	0.8237	0.8691666666666666
6:	0.83	0.8795
7:	0.8332	0.8888333333333334
8:	0.8385	0.896
9:	0.8374	0.8998333333333334
10:	0.8396	0.9073333333333333
11:	0.8388	0.9038333333333334
12:	0.8256	0.8995
13:	0.8422	0.9171666666666667
14:	0.8421	0.9185
15:	0.8324	0.9148333333333334
16:	0.8265	0.9138333333333334
17:	0.845	0.9305
18:	0.8367	0.9241666666666667
19:	0.845	0.9335
20:	0.836	0.9081666666666667
21:	0.8332	0.9278333333333333
22:	0.8417	0.9366666666666666
23:	0.8299	0.9325
24:	0.8406	0.9448333333333333
25:	0.8426	0.9448333333333333
26:	0.8352	0.944
27:	0.8426	0.953
28:	0.8351	0.9496666666666667
29:	0.8442	0.9635
30:	0.835	0.9516666666666667
31:	0.8389	0.9573333333333334
32:	0.8446	0.9693333333333334
33:	0.8352	0.9538333333333333
34:	0.8433	0.9631666666666666
35:	0.8357	0.9621666666666666
36:	0.8262	0.9475
37:	0.8381	0.948
38:	0.8363	0.9508333333333333
39:	0.84	0.9645
40:	0.8356	0.9616666666666667
41:	0.8391	0.9705
42:	0.8421	0.9808333333333333
43:	0.8429	0.9771666666666666
44:	0.8345	0.9688333333333333
45:	0.8413	0.9786666666666667
46:	0.8381	0.9775
47:	0.8383	0.981
48:	0.8434	0.9828333333333333
49:	0.8361	0.9676666666666667
50:	0.8368	0.9766666666666667
