Epoch 	Test Acc. 	Train Acc.
1:	0.7811	0.8035
2:	0.8045	0.8405
3:	0.8193	0.8598333333333333
4:	0.7758	0.8143333333333334
5:	0.818	0.8581666666666666
6:	0.8278	0.8725
7:	0.8264	0.8776666666666667
8:	0.8261	0.8871666666666667
9:	0.8281	0.8883333333333333
10:	0.8307	0.8908333333333334
11:	0.8356	0.8976666666666666
12:	0.8393	0.9061666666666667
13:	0.8287	0.9001666666666667
14:	0.8415	0.9135
15:	0.8396	0.9156666666666666
16:	0.8401	0.9193333333333333
17:	0.843	0.9175
18:	0.8313	0.9086666666666666
19:	0.8343	0.9175
20:	0.8258	0.9176666666666666
21:	0.8388	0.9305
22:	0.8319	0.918
23:	0.8424	0.934
24:	0.8364	0.9341666666666667
25:	0.8423	0.9493333333333334
26:	0.8356	0.9381666666666667
27:	0.8413	0.945
28:	0.836	0.945
29:	0.843	0.9526666666666667
30:	0.8352	0.9456666666666667
31:	0.838	0.945
32:	0.83	0.9355
33:	0.8407	0.9515
34:	0.8412	0.9615
35:	0.83	0.9528333333333333
36:	0.8378	0.951
37:	0.837	0.9618333333333333
38:	0.8413	0.96
39:	0.8361	0.9676666666666667
40:	0.8382	0.9671666666666666
41:	0.8406	0.9516666666666667
42:	0.8372	0.9673333333333334
43:	0.8381	0.9715
44:	0.8301	0.9618333333333333
45:	0.8419	0.9741666666666666
46:	0.8359	0.971
47:	0.8237	0.955
48:	0.8385	0.977
49:	0.8339	0.975
50:	0.8332	0.9738333333333333
