Epoch 	Test Acc. 	Train Acc.
1:	0.7632	0.79
2:	0.7922	0.8211666666666667
3:	0.8082	0.8408333333333333
4:	0.8179	0.8601666666666666
5:	0.8234	0.8695
6:	0.8169	0.8586666666666667
7:	0.8231	0.8688333333333333
8:	0.8349	0.8863333333333333
9:	0.8315	0.888
10:	0.8267	0.8903333333333333
11:	0.8306	0.8891666666666667
12:	0.8243	0.8826666666666667
13:	0.8436	0.908
14:	0.8283	0.9033333333333333
15:	0.842	0.9163333333333333
16:	0.8384	0.912
17:	0.8373	0.9146666666666666
18:	0.844	0.9198333333333333
19:	0.8425	0.9306666666666666
20:	0.8408	0.93
21:	0.8348	0.9256666666666666
22:	0.8412	0.9336666666666666
23:	0.8301	0.9261666666666667
24:	0.8403	0.939
25:	0.8436	0.9463333333333334
26:	0.8388	0.9481666666666667
27:	0.8439	0.9425
28:	0.837	0.9485
29:	0.8357	0.9416666666666667
30:	0.8359	0.9513333333333334
31:	0.8303	0.9451666666666667
32:	0.8433	0.9541666666666667
33:	0.8387	0.9516666666666667
34:	0.835	0.9511666666666667
35:	0.8353	0.9471666666666667
36:	0.8348	0.9573333333333334
37:	0.8348	0.9393333333333334
38:	0.8373	0.9541666666666667
39:	0.8331	0.953
40:	0.8418	0.9596666666666667
41:	0.8355	0.9626666666666667
42:	0.8349	0.9658333333333333
43:	0.8394	0.972
44:	0.8272	0.9596666666666667
45:	0.8347	0.9713333333333334
46:	0.8372	0.9751666666666666
47:	0.839	0.9678333333333333
48:	0.8365	0.9736666666666667
49:	0.829	0.9665
50:	0.8397	0.9828333333333333
