Epoch 	Test Acc. 	Train Acc.
1:	0.7642	0.787
2:	0.7974	0.829
3:	0.8141	0.8455
4:	0.8116	0.8501666666666666
5:	0.8264	0.8601666666666666
6:	0.8237	0.8618333333333333
7:	0.8306	0.8825
8:	0.8299	0.8825
9:	0.8318	0.8855
10:	0.8387	0.8906666666666667
11:	0.8225	0.8841666666666667
12:	0.8299	0.8928333333333334
13:	0.8415	0.9038333333333334
14:	0.8347	0.9031666666666667
15:	0.8368	0.9068333333333334
16:	0.834	0.9026666666666666
17:	0.8347	0.908
18:	0.8405	0.9236666666666666
19:	0.8366	0.9108333333333334
20:	0.8352	0.9185
21:	0.8418	0.9286666666666666
22:	0.8426	0.932
23:	0.8359	0.9273333333333333
24:	0.8386	0.9323333333333333
25:	0.8346	0.9345
26:	0.8403	0.9348333333333333
27:	0.8402	0.9365
28:	0.8377	0.9345
29:	0.8299	0.9216666666666666
30:	0.8404	0.9423333333333334
31:	0.831	0.9351666666666667
32:	0.8371	0.9538333333333333
33:	0.826	0.933
34:	0.831	0.9516666666666667
35:	0.8354	0.9528333333333333
36:	0.8366	0.9548333333333333
37:	0.839	0.9553333333333334
38:	0.8411	0.961
39:	0.8382	0.9471666666666667
40:	0.8407	0.9625
41:	0.8225	0.9333333333333333
42:	0.8309	0.9608333333333333
43:	0.8395	0.9675
44:	0.8412	0.9676666666666667
45:	0.8258	0.9491666666666667
46:	0.8352	0.9525
47:	0.8385	0.9735
48:	0.8343	0.9715
49:	0.8366	0.9648333333333333
50:	0.8389	0.9725
