Epoch 	Test Acc. 	Train Acc.
1:	0.7567	0.7785
2:	0.7871	0.8215
3:	0.7972	0.829
4:	0.7947	0.8235
5:	0.8149	0.8545
6:	0.8149	0.8576666666666667
7:	0.8226	0.8661666666666666
8:	0.8217	0.869
9:	0.8159	0.8646666666666667
10:	0.8231	0.8711666666666666
11:	0.8286	0.8763333333333333
12:	0.8286	0.888
13:	0.8299	0.8918333333333334
14:	0.8318	0.8906666666666667
15:	0.8196	0.8815
16:	0.8277	0.892
17:	0.8224	0.887
18:	0.8246	0.8926666666666667
19:	0.8321	0.9056666666666666
20:	0.8334	0.9066666666666666
21:	0.8243	0.8973333333333333
22:	0.8299	0.9111666666666667
23:	0.8258	0.901
24:	0.8281	0.9118333333333334
25:	0.8327	0.9096666666666666
26:	0.8335	0.9163333333333333
27:	0.8239	0.8973333333333333
28:	0.8286	0.9113333333333333
29:	0.8242	0.913
30:	0.8368	0.9206666666666666
31:	0.8357	0.9265
32:	0.8274	0.9198333333333333
33:	0.8265	0.9238333333333333
34:	0.8392	0.928
35:	0.8364	0.9308333333333333
36:	0.8355	0.9371666666666667
37:	0.8357	0.933
38:	0.8297	0.9338333333333333
39:	0.8329	0.9343333333333333
40:	0.8313	0.9326666666666666
41:	0.8324	0.9345
42:	0.8321	0.9395
43:	0.8267	0.9331666666666667
44:	0.8354	0.9391666666666667
45:	0.8325	0.945
46:	0.8287	0.944
47:	0.8329	0.9446666666666667
48:	0.827	0.9338333333333333
49:	0.8321	0.9506666666666667
50:	0.83	0.9463333333333334
